pan max
pan_gene_13355 2
pan_gene_13356 2
pan_gene_13365 2
pan_gene_13366 2
pan_gene_13371 2
pan_gene_13373 2
pan_gene_13382 2
pan_gene_13390 4
pan_gene_13400 2
pan_gene_13403 2
pan_gene_13412 2
pan_gene_13413 2
pan_gene_13420 2
pan_gene_1343 2
pan_gene_13437 2
pan_gene_13439 2
pan_gene_13441 2
pan_gene_13442 2
pan_gene_13445 2
pan_gene_13446 2
pan_gene_1345 2
pan_gene_13453 2
pan_gene_13458 2
pan_gene_13459 2
pan_gene_1346 3
pan_gene_13462 2
pan_gene_13472 2
pan_gene_13473 2
pan_gene_13480 2
pan_gene_13481 2
pan_gene_13484 2
pan_gene_13488 2
pan_gene_13499 2
pan_gene_135 2
pan_gene_13501 2
pan_gene_13506 2
pan_gene_13510 2
pan_gene_13515 2
pan_gene_13520 2
pan_gene_13527 2
pan_gene_13530 2
pan_gene_13531 2
pan_gene_13547 2
pan_gene_13550 2
pan_gene_13557 2
pan_gene_1356 2
pan_gene_13561 2
pan_gene_13563 2
pan_gene_13564 2
pan_gene_13565 2
pan_gene_13566 2
pan_gene_13567 3
pan_gene_13581 2
pan_gene_13587 3
pan_gene_13588 3
pan_gene_1359 2
pan_gene_13594 2
pan_gene_13597 3
pan_gene_13604 2
pan_gene_13605 3
pan_gene_13607 2
pan_gene_13620 2
pan_gene_13621 2
pan_gene_13630 2
pan_gene_13631 2
pan_gene_13633 2
pan_gene_13636 2
pan_gene_13639 2
pan_gene_13640 3
pan_gene_13646 2
pan_gene_13650 2
pan_gene_13657 4
pan_gene_13660 2
pan_gene_13665 2
pan_gene_13668 2
pan_gene_13676 2
pan_gene_13677 2
pan_gene_13678 2
pan_gene_13683 2
pan_gene_13691 2
pan_gene_13696 2
pan_gene_13706 2
pan_gene_13709 2
pan_gene_13720 2
pan_gene_1373 2
pan_gene_13735 2
pan_gene_13736 2
pan_gene_13739 2
pan_gene_13742 2
pan_gene_13744 2
pan_gene_13746 2
pan_gene_13747 2
pan_gene_13749 2
pan_gene_13754 2
pan_gene_13758 2
pan_gene_13759 4
pan_gene_13764 2
pan_gene_13778 2
pan_gene_13782 2
pan_gene_13783 3
pan_gene_13785 2
pan_gene_13790 2
pan_gene_13791 2
pan_gene_13796 2
pan_gene_13798 2
pan_gene_1380 2
pan_gene_13804 2
pan_gene_13806 2
pan_gene_13813 2
pan_gene_13821 2
pan_gene_13823 2
pan_gene_13827 2
pan_gene_13836 2
pan_gene_13837 2
pan_gene_1384 2
pan_gene_13861 2
pan_gene_13868 2
pan_gene_13871 2
pan_gene_13872 2
pan_gene_13875 2
pan_gene_13877 2
pan_gene_13886 2
pan_gene_1390 2
pan_gene_13903 3
pan_gene_13909 2
pan_gene_13911 2
pan_gene_13916 2
pan_gene_13919 2
pan_gene_13921 2
pan_gene_13928 2
pan_gene_1393 3
pan_gene_13943 2
pan_gene_13944 2
pan_gene_13949 2
pan_gene_13951 2
pan_gene_13955 2
pan_gene_13960 2
pan_gene_13965 2
pan_gene_13982 3
pan_gene_13983 3
pan_gene_13992 3
pan_gene_13994 2
pan_gene_13996 2
pan_gene_13998 3
pan_gene_14000 2
pan_gene_14006 2
pan_gene_14007 2
pan_gene_14010 2
pan_gene_14021 3
pan_gene_14022 2
pan_gene_14024 2
pan_gene_14037 2
pan_gene_14039 2
pan_gene_14042 2
pan_gene_14046 2
pan_gene_14047 3
pan_gene_14053 3
pan_gene_14057 2
pan_gene_14061 2
pan_gene_14062 2
pan_gene_14063 2
pan_gene_14068 2
pan_gene_14069 2
pan_gene_14072 2
pan_gene_14073 2
pan_gene_14074 2
pan_gene_14076 2
pan_gene_14080 2
pan_gene_14085 2
pan_gene_14086 2
pan_gene_14089 2
pan_gene_1409 2
pan_gene_14092 2
pan_gene_14099 2
pan_gene_14100 2
pan_gene_14106 2
pan_gene_1411 2
pan_gene_14115 2
pan_gene_14116 2
pan_gene_14117 2
pan_gene_14128 2
pan_gene_14137 2
pan_gene_14140 2
pan_gene_14142 2
pan_gene_14151 2
pan_gene_14157 2
pan_gene_14159 2
pan_gene_14161 2
pan_gene_14166 2
pan_gene_14169 2
pan_gene_14172 5
pan_gene_14175 2
pan_gene_14178 2
pan_gene_14181 2
pan_gene_14183 2
pan_gene_14191 2
pan_gene_14193 2
pan_gene_14200 2
pan_gene_14205 2
pan_gene_14217 2
pan_gene_14221 2
pan_gene_14224 5
pan_gene_14228 2
pan_gene_1423 2
pan_gene_14234 2
pan_gene_14240 2
pan_gene_14248 2
pan_gene_14251 2
pan_gene_14255 2
pan_gene_14259 3
pan_gene_14263 5
pan_gene_14271 2
pan_gene_1428 2
pan_gene_14280 2
pan_gene_14282 2
pan_gene_14283 2
pan_gene_14288 2
pan_gene_14289 2
pan_gene_14302 2
pan_gene_14312 2
pan_gene_14320 2
pan_gene_14321 2
pan_gene_14323 2
pan_gene_14325 2
pan_gene_14334 4
pan_gene_14336 3
pan_gene_14337 3
pan_gene_14338 2
pan_gene_14339 2
pan_gene_14341 2
pan_gene_14344 2
pan_gene_14349 2
pan_gene_14354 4
pan_gene_14362 4
pan_gene_14364 2
pan_gene_14367 2
pan_gene_14368 2
pan_gene_14377 2
pan_gene_14386 2
pan_gene_14389 2
pan_gene_14397 2
pan_gene_14405 2
pan_gene_14407 2
pan_gene_14413 2
pan_gene_14415 2
pan_gene_14416 2
pan_gene_1442 2
pan_gene_14420 2
pan_gene_14421 2
pan_gene_14427 2
pan_gene_14428 2
pan_gene_14430 2
pan_gene_14433 2
pan_gene_14440 2
pan_gene_14447 2
pan_gene_14449 2
pan_gene_14450 2
pan_gene_14462 2
pan_gene_14463 2
pan_gene_14464 2
pan_gene_14470 2
pan_gene_14475 9
pan_gene_14481 2
pan_gene_14485 2
pan_gene_14486 2
pan_gene_14488 3
pan_gene_14494 2
pan_gene_1450 2
pan_gene_14504 4
pan_gene_14507 2
pan_gene_14508 2
pan_gene_14509 4
pan_gene_1451 2
pan_gene_14512 2
pan_gene_14514 2
pan_gene_14515 2
pan_gene_14516 5
pan_gene_14517 3
pan_gene_14518 3
pan_gene_14519 2
pan_gene_14520 2
pan_gene_14521 2
pan_gene_14524 2
pan_gene_14525 2
pan_gene_14526 2
pan_gene_14527 2
pan_gene_14528 2
pan_gene_14532 2
pan_gene_14533 3
pan_gene_14546 4
pan_gene_14549 2
pan_gene_1455 3
pan_gene_14552 2
pan_gene_14557 2
pan_gene_14569 3
pan_gene_14574 3
pan_gene_14579 2
pan_gene_14580 2
pan_gene_14581 2
pan_gene_14585 6
pan_gene_14586 3
pan_gene_14591 2
pan_gene_14596 2
pan_gene_14597 2
pan_gene_14599 2
pan_gene_14600 2
pan_gene_14603 2
pan_gene_14604 2
pan_gene_14605 2
pan_gene_14606 2
pan_gene_14615 2
pan_gene_14622 2
pan_gene_14637 2
pan_gene_14640 2
pan_gene_14645 2
pan_gene_1465 2
pan_gene_14650 2
pan_gene_14662 2
pan_gene_14664 2
pan_gene_14665 2
pan_gene_14671 2
pan_gene_14672 2
pan_gene_14673 2
pan_gene_14675 2
pan_gene_14678 4
pan_gene_1468 2
pan_gene_14684 2
pan_gene_14685 2
pan_gene_14690 2
pan_gene_14695 2
pan_gene_14696 2
pan_gene_14698 2
pan_gene_147 2
pan_gene_14704 2
pan_gene_14705 3
pan_gene_14709 2
pan_gene_14710 2
pan_gene_14720 2
pan_gene_1473 2
pan_gene_14733 2
pan_gene_14734 2
pan_gene_14735 2
pan_gene_14737 2
pan_gene_14738 2
pan_gene_14740 2
pan_gene_14743 2
pan_gene_14749 2
pan_gene_14750 4
pan_gene_14755 3
pan_gene_14762 2
pan_gene_1477 3
pan_gene_14772 2
pan_gene_14775 5
pan_gene_14777 2
pan_gene_14783 2
pan_gene_14787 2
pan_gene_14791 2
pan_gene_14796 2
pan_gene_148 2
pan_gene_14802 2
pan_gene_14803 3
pan_gene_14804 2
pan_gene_14807 2
pan_gene_14814 2
pan_gene_14822 3
pan_gene_14825 2
pan_gene_14829 2
pan_gene_14830 3
pan_gene_14833 2
pan_gene_14837 3
pan_gene_14840 2
pan_gene_14843 2
pan_gene_14844 4
pan_gene_14849 3
pan_gene_14852 2
pan_gene_14854 2
pan_gene_14858 2
pan_gene_14866 2
pan_gene_14867 2
pan_gene_14868 2
pan_gene_1487 2
pan_gene_14874 2
pan_gene_14878 29
pan_gene_14879 3
pan_gene_14883 3
pan_gene_14884 5
pan_gene_1489 2
pan_gene_14894 2
pan_gene_14895 2
pan_gene_14897 2
pan_gene_14898 3
pan_gene_1490 2
pan_gene_14903 3
pan_gene_14905 2
pan_gene_14912 2
pan_gene_14914 2
pan_gene_14917 2
pan_gene_14922 2
pan_gene_14928 2
pan_gene_14933 2
pan_gene_14941 4
pan_gene_14944 2
pan_gene_14949 2
pan_gene_14950 2
pan_gene_14968 3
pan_gene_14974 2
pan_gene_14975 2
pan_gene_14978 2
pan_gene_14979 2
pan_gene_14983 2
pan_gene_14984 2
pan_gene_14992 2
pan_gene_14993 2
pan_gene_15009 2
