pan,B73,B97,CML103,CML322,CML69,HP301,Il14H,Ki11,Ki3,Ky21,M37W,Mo18W,Ms71,NC350,NC358,Oh43,Oh7B,P39,Tx303,Tzi8
pan_gene_100098,NA,NA,NA,0.693107,0,NA,NA,0,0,NA,0.483213,NA,0.147161,NA,0,0,0,NA,NA,0
pan_gene_1001,8.63164,8.5612,8.09674,7.37505,NA,NA,6.76728,10.4123,8.63921,4.93325,7.67247,7.20004,8.57345,5.689,8.58556,6.48422,7.34592,6.11627,NA,5.8757
pan_gene_100105,NA,478.473,NA,NA,NA,NA,NA,NA,NA,254.528,NA,343.761,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100109,NA,1.28506,0.0883218,0.0316256,0.508476,0.114427,0,0,0.169921,0.0551523,0,0,0.239674,0.12903,0.227075,0.302369,0.126972,0.384266,0.211904,0.284874
pan_gene_10012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_10013,24.7701,24.4831,27.7697,21.3071,24.008,27.0901,20.3516,29.2548,16.9138,25.7697,22.8247,28.6513,26.6784,27.1018,31.9933,30.1113,35.1341,28.7079,20.9453,31.2023
pan_gene_100137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_10015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100166,NA,0.573274,3.00171,NA,NA,2.48438,NA,NA,NA,NA,NA,NA,NA,1.39133,2.24967,NA,NA,NA,1.37316,0.884754
pan_gene_100168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_1002,0.921145,2.66683,3.10656,1.834,2.51839,0.520029,1.63136,1.75979,1.11228,2.38317,1.3349,1.00116,1.32008,0.902906,1.45097,2.53083,1.9898,0.925769,1.98589,1.50969
pan_gene_100201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100244,NA,16.8202,21.6997,40.1875,28.8897,23.4442,59.9774,39.9131,26.3491,128.021,NA,65.0926,114.224,35.5982,55.6274,NA,163.25,220.327,51.812,29.3349
pan_gene_100245,NA,16.1722,NA,NA,13.7764,15.21,17.3458,16.8738,12.0702,14.3007,13.5847,NA,16.7747,11.5179,14.907,10.52,14.6708,NA,16.2369,16.3659
pan_gene_100247,NA,NA,NA,NA,NA,NA,12.676,NA,NA,19.716,NA,NA,NA,NA,NA,32.2069,NA,NA,55.5949,8.27325
pan_gene_100250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
