,B73,Tzi8,Ky21,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML69,Ki11,CML322,Ki3,CML103,Tx303,NC358,B97
pan_gene_169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_170,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_171,NA,NA,0.674416,3.28531,NA,1.83737,0.716391,1.11079,0.983261,0.526377,0.759892,0.880678,0.397057,0.283621,1.1997,NA,0.515744,1.97396,NA,0.0868842
pan_gene_172,NA,0.321915,1.86478,5.94066,3.34305,2.47661,0.575023,0.901467,0.806153,0.705945,1.01527,NA,1.28006,0.476786,1.21953,0.179743,0.768804,0.834812,0.500168,3.84221
pan_gene_174,1293.87,1293.87,1433.91,2279.52,850.325,904.421,1691.02,1547.16,2065.31,839.749,1386.64,1533.53,1593.69,1130.02,1409.53,2099.07,2317.23,1106.09,1138.8,1041.64
pan_gene_175,NA,0,0,0,0.280397,0,0.326718,0,0,0,0.180295,NA,0,0,0,0,0,0.560261,0,0
pan_gene_176,NA,8.02587,13.4613,5.99527,11.3005,10.7422,12.2124,23.0264,13.3771,23.4148,13.7039,15.5066,13.2132,9.12877,15.9978,9.07908,8.66938,33.1738,7.90565,10.7752
pan_gene_177,NA,0,0,0,0,0,NA,NA,0,NA,0,0,NA,0,0.112065,0,0,0.0669878,0,0
pan_gene_179,17.0378,17.0378,23.436,2.20213,4.4352,5.97698,16.2648,1.19068,5.89408,5.71961,14.1053,1.41645,6.3619,3.43628,18.4533,5.17717,10.8259,14.8266,15.5969,1.96685
pan_gene_180,NA,5.59442,10.0125,12.9345,9.36031,NA,4.51476,9.5563,NA,7.98967,3.14371,12.6264,8.58732,5.70749,17.2234,10.2156,17.7268,12.3505,17.9025,3.40044
pan_gene_181,NA,0,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,0.256282,NA,NA,0,NA
pan_gene_182,NA,0.0411551,NA,NA,NA,NA,NA,NA,NA,0.00260965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_183,NA,0.121868,NA,NA,NA,NA,0.341824,NA,NA,NA,NA,NA,0.0949327,NA,NA,NA,NA,NA,NA,NA
pan_gene_185,0,0,0.0107982,0,0.116067,0.0091273,0.150163,0.0244344,0,0.0112181,0.0393214,0,0,0.0518787,0,0,0,0.289573,0,0
pan_gene_186,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00954776,NA,NA,NA,NA,NA,NA,NA,0.0035088
pan_gene_188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_189,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0.200843,0,NA,NA,NA,NA
pan_gene_191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
