,pan,B73,Tzi8,Ky21,M162W,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML52,CML69,Ki11,CML228,CML247,CML277,CML322,CML333,Ki3,CML103,Tx303,NC358,B97
25716,pan_gene_8543,0.1619,0.0325,0.2157,0.1981,0.1507,0.0306,0.2411,0.1675,NA,0.3039,0.2322,0.2736,0.1712,0.1852,0.0718,0.2573,0.3514,0.1824,0.164,0.1103,0.1397,0.2314,0.2214,0.1928,0.261,0.0672
25743,pan_gene_85717,0.6324,NA,NA,NA,NA,0.0017,0.5957,NA,NA,NA,NA,NA,0.0136,NA,NA,NA,NA,NA,0.6331,0.6409,0.5549,NA,NA,0.561,NA,NA
25758,pan_gene_8585,6e-04,0.0013,0,NA,0,0.0011,0.001,0.0017,0,6e-04,0,0.0056,5e-04,0.2572,0.0137,NA,0,NA,0.0016,0,0.0016,0.017,NA,NA,0.0048,0.0011
25786,pan_gene_8601,7e-04,0.0017,0.0028,0,NA,NA,0,0.0054,0.0035,0.0029,0.0022,0,0.0024,5e-04,0.0043,0.0059,0,0,0.5146,8e-04,0.0013,0.0034,7e-04,0.0012,0,0
25820,pan_gene_8625,NA,0.8279,NA,0.7042,NA,NA,0.6667,NA,NA,NA,NA,NA,NA,0.6894,0.6842,NA,0.5973,0.7566,NA,NA,0.7152,NA,NA,0.5517,0.5872,NA
25862,pan_gene_86582,NA,NA,NA,NA,NA,0.2308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6475,NA,NA,NA,NA,NA,NA,NA,NA
25889,pan_gene_868,0.0026,0.0836,0.0358,0.3541,0.0295,0.006,0.004,0.0019,0.3921,0.0053,0.0076,0,0,0.0553,NA,0.0203,0.0418,0.0295,0.0395,0.0323,0,0.0023,0,0.0592,0.0408,0.003
25892,pan_gene_86818,NA,NA,NA,NA,NA,0.6237,NA,NA,NA,0.6368,NA,0.6974,0,NA,NA,NA,NA,NA,0.7561,NA,NA,NA,NA,NA,NA,NA
25910,pan_gene_8698,0.1103,NA,0.0245,0.1465,0.004,0.0089,NA,0.0592,0.0446,0.0027,0.1716,0.0759,0.156,0,NA,NA,NA,NA,NA,0.0749,8e-04,0.2422,0.0011,0.0481,0.0023,0.0092
25914,pan_gene_8701,0.0029,0.003,0.2047,NA,8e-04,0.0779,0.0024,0.0184,0.0036,0.0356,0.0108,0.0049,6e-04,NA,0.1741,0.0065,NA,0.1919,0.131,0.1879,0.0023,0.1213,0.1534,0.0669,0.0815,0.0032
